Time,Amount
1940.42,0.08
1940.5,0.12
1940.58,0.05
1940.67,0.13
1940.75,0.08
1940.83,0.17
1940.92,0.28
1941,0.21
1941.08,0.32
1941.17,0.08
1941.25,0.17
1941.33,0.14
1941.42,0.12
1941.5,0.21
1941.58,0.14
1941.67,0.02
1941.75,0.34
1941.83,0.24
1941.92,0.21
1942,0.26
1942.08,0.02
1942.17,0.09
1942.25,0.11
1942.33,0.09
1942.42,0.04
1942.5,0
1942.58,-0.04
1942.67,-0.05
1942.75,-0.01
1942.83,0.08
1942.92,0.07
1943,-0.04
1943.08,0.13
1943.17,-0.08
1943.25,0.07
1943.33,0.04
1943.42,-0.06
1943.5,0.08
1943.58,0
1943.67,0.06
1943.75,0.22
1943.83,0.19
1943.92,0.24
1944,0.35
1944.08,0.26
1944.17,0.27
1944.25,0.2
1944.33,0.19
1944.42,0.2
1944.5,0.18
1944.58,0.17
1944.67,0.3
1944.75,0.26
1944.83,0.1
1944.92,0.02
1945,0.09
1945.08,-0.02
1945.17,0.07
1945.25,0.18
1945.33,0.05
1945.42,-0.01
1945.5,0.03
1945.58,0.27
1945.67,0.22
1945.75,0.19
1945.83,0.07
1945.92,-0.09
1946,0.15
1946.08,0.07
1946.17,0.01
1946.25,0.06
1946.33,-0.08
1946.42,-0.21
1946.5,-0.14
1946.58,-0.16
1946.67,-0.07
1946.75,-0.06
1946.83,-0.06
1946.92,-0.35
1947,-0.13
1947.08,-0.08
1947.17,0.07
1947.25,0.07
1947.33,-0.03
1947.42,0.02
1947.5,-0.08
1947.58,-0.09
1947.67,-0.13
1947.75,0.06
1947.83,0.02
1947.92,-0.16
1948,0.07
1948.08,-0.15
1948.17,-0.25
1948.25,-0.11
1948.33,0.01
1948.42,-0.04
1948.5,-0.11
1948.58,-0.12
1948.67,-0.11
1948.75,-0.07
1948.83,-0.12
1948.92,-0.23
1949,0.09
1949.08,-0.16
1949.17,-0.02
1949.25,-0.1
1949.33,-0.08
1949.42,-0.23
1949.5,-0.14
1949.58,-0.12
1949.67,-0.14
1949.75,-0.06
1949.83,-0.1
1949.92,-0.22
1950,-0.33
1950.08,-0.28
1950.17,-0.07
1950.25,-0.2
1950.33,-0.09
1950.42,-0.03
1950.5,-0.1
1950.58,-0.16
1950.67,-0.12
1950.75,-0.22
1950.83,-0.38
1950.92,-0.2
1951,-0.35
1951.08,-0.43
1951.17,-0.21
1951.25,-0.13
1951.33,0
1951.42,-0.02
1951.5,0.03
1951.58,0.06
1951.67,0.08
1951.75,0.05
1951.83,-0.02
1951.92,0.14
1952,0.13
1952.08,0.11
1952.17,-0.1
1952.25,0.02
1952.33,-0.02
1952.42,-0.04
1952.5,0.04
1952.58,0.04
1952.67,0.07
1952.75,-0.01
1952.83,-0.14
1952.92,-0.01
1953,0.08
1953.08,0.14
1953.17,0.11
1953.25,0.18
1953.33,0.09
1953.42,0.1
1953.5,0
1953.58,0.06
1953.67,0.04
1953.75,0.06
1953.83,-0.06
1953.92,0.02
1954,-0.28
1954.08,-0.13
1954.17,-0.15
1954.25,-0.17
1954.33,-0.21
1954.42,-0.17
1954.5,-0.19
1954.58,-0.17
1954.67,-0.1
1954.75,-0.04
1954.83,0.06
1954.92,-0.22
1955,0.14
1955.08,-0.17
1955.17,-0.34
1955.25,-0.21
1955.33,-0.21
1955.42,-0.12
1955.5,-0.12
1955.58,0.01
1955.67,-0.11
1955.75,-0.05
1955.83,-0.24
1955.92,-0.3
1956,-0.16
1956.08,-0.26
1956.17,-0.23
1956.25,-0.27
1956.33,-0.31
1956.42,-0.16
1956.5,-0.12
1956.58,-0.26
1956.67,-0.2
1956.75,-0.24
1956.83,-0.17
